"mean_forestdens","sd_forestdens","Coniferous_forest","Deciduous_forest","Mixed_forest","Clear_cut","Water_bodies","Arable_land","Human_construction"
68.7777858301006,23.2163315003898,0.500765380000827,0.0521699557320756,0.263332092176575,0.163253485581896,0,4.13718919366183e-05,0.0204377146166894
69.8319282025487,21.4359086431659,0.507428098489551,0.0359197186012828,0.269894475481068,0.166645975584523,0,0,0.0201117318435754
69.0563715274256,22.2109938731286,0.493690264388266,0.0304108568827837,0.261574744507427,0.192684844221937,0,0,0.0216392899995862
46.7881815354595,33.6454250880503,0.522983987752907,0.0215565393686127,0.102072903305888,0.301957052422525,0.00194463982787869,0,0.0494848773221896
51.8773622327258,30.52351939373,0.489926777809953,0.0199809705042816,0.127332147437223,0.314193521697762,0.00194431804078931,0,0.0466222645099905
53.4520284278732,29.3610535167277,0.484528832630098,0.020393811533052,0.135186564077108,0.316166128898817,0.000206833788367668,0,0.0435178290725573
52.382422999266,34.278936770281,0.333043766029619,0.126499544965666,0.176553321750641,0.281955820302805,0.0400016546703069,0.0217175477786051,0.0202283445023579
54.2523875777056,34.2494267056634,0.317296156869234,0.126504778058164,0.196707069871344,0.289496545732842,0.0278409796053448,0.0220907624208828,0.0200637074421876
52.9409460611768,35.0997672040839,0.29324397004675,0.132845145008481,0.194158288858549,0.280708286789955,0.054735013032146,0.0243680443506682,0.01994125191345
59.5862919539503,27.5185403729204,0.505211780277962,0.0526968894771674,0.228780608868299,0.184770019854401,0.0171657842488418,0,0.0113749172733289
58.9867361301971,27.1409350564391,0.510838987257984,0.039674002978653,0.225757074300844,0.203706768161509,0.00715704120469965,0,0.0128661260963098
57.4481569773516,27.4468746819686,0.538181517332671,0.0292876644328618,0.200380574170597,0.2052204848184,0.0155125341275751,0,0.0114172251178953
51.1996969140609,33.7549921007275,0.35253227408143,0.109980139026812,0.12566203243959,0.264606090698444,0.0375703409467064,0.0842022509102946,0.0254468718967229
53.9032955662571,32.0355416019289,0.40536290656294,0.0949681370520566,0.119506745013656,0.264421087478275,0.0112141024579988,0.0820988165190764,0.0224282049159977
52.8577566460697,31.8489470186259,0.431969552806851,0.0800066189550325,0.108468125594672,0.281429694287014,0.00252347660613081,0.0711123981301452,0.0244901336201547
46.5726164930368,32.501893512622,0.464344804765056,0.014559894109861,0.103366975512905,0.367099602911979,0.031518861681006,0,0.0191098610191926
48.2396804054444,29.8008012183756,0.494105480868666,0.0176215098241986,0.123226473629783,0.326742502585315,0.0209307135470527,0,0.0173733195449845
